method,accuracy,balanced_accuracy,macro_f1,g_mean,many_shot_accuracy,medium_shot_accuracy,few_shot_accuracy
vlm_fusion,0.6712,0.6711999999999999,0.6612976985412906,0.630880465876294,0.7571428571428571,0.6345714285714286,0.6136666666666667
clip_only,0.6265,0.6265,0.6130989744317703,0.5553030844453622,0.6382857142857142,0.6051428571428572,0.6376666666666667
cmo,0.4624,0.4624000000000001,0.4548569543545435,0.3899645561333985,0.6142857142857143,0.4434285714285714,0.3073333333333333
tau_norm,0.4488,0.4488,0.44214708678075226,0.3908114171376178,0.5928571428571429,0.42142857142857143,0.3126666666666667
ensemble_tta,0.4479,0.44789999999999996,0.41148192755390767,0.3017995109496999,0.7205714285714285,0.4317142857142857,0.14866666666666667
ensemble,0.446,0.44599999999999995,0.40902628984050277,0.3012561802812931,0.7185714285714286,0.4274285714285714,0.14966666666666667
vision_only,0.4451,0.4451,0.4250117866253366,0.36329293417892417,0.648,0.4242857142857143,0.2326666666666667
balanced_softmax,0.4451,0.4451,0.4250117866253366,0.36329293417892417,0.648,0.4242857142857143,0.2326666666666667
decoupling,0.4252,0.42519999999999997,0.38875214576609174,0.21474064906269075,0.7002857142857142,0.4042857142857143,0.12866666666666665
tier_fusion,0.4251,0.4251,0.38693920928627906,0.22760449107824926,0.6682857142857144,0.43285714285714294,0.13233333333333333
baseline,0.4082,0.4082,0.36354187921616526,0.11714390595000924,0.7054285714285715,0.3797142857142856,0.09466666666666666
supcon,0.3971,0.39709999999999995,0.3906819046991896,0.1361363896972824,0.5825714285714286,0.4045714285714286,0.17200000000000001
meta,0.3513,0.35129999999999995,0.31447103151958333,0.019162547138889464,0.5582857142857143,0.39028571428571424,0.06433333333333334
